ref_ID,Category,Product/System,Production/Process Method,Brief Description
271,Metal,Silver,Lead or Copper Refining Byproduct,Silver is recovered from lead bullion (Parkes process) or copper electrolytic slimes.
272,Metal,Platinum,PGM Concentration + Smelting + Refining,"Platinum group metals are extracted from ore via flotation, smelted, then separated in complex refining steps."
273,Metal,Platinum,Recycling from Catalytic Converters,Spent autocatalysts are processed (leached/smelting) to recover platinum.
274,Metal,Palladium,Co-produced with Platinum (PGM Refining),Typically recovered alongside platinum in PGM ore.
275,Metal,Palladium,"Recycling (Electronics, Catalysts)",Significant palladium is recovered from e-waste and catalytic converters.
276,Metal,Molybdenum,"Byproduct from Copper Porphyry (Flotation, Roasting)",Molybdenite is separated from copper concentrates by flotation; roasted to MoO₃.
277,Metal,Molybdenum,Primary Molybdenite Mining + Roasting,Direct mining of high-grade Mo deposits; concentrate is roasted to produce technical Mo oxide.
278,Metal,Tungsten,Wolframite/Scheelite Concentrate + APT Route,"Ores are concentrated, then chemically processed to ammonium paratungstate (APT), reduced to tungsten powder."
279,Metal,Tungsten,Scrap Recycling + Chemical Conversion,"Tungsten scrap is chemically digested to produce APT or tungsten oxides, then reduced."
280,Metal,Steel (Carbon),Blast Furnace + Basic Oxygen Furnace (BF–BOF),"Iron ore is reduced in a blast furnace to pig iron, then refined in a BOF to produce steel."
281,Metal,Steel (Carbon),Electric Arc Furnace (EAF),"Scrap steel or DRI is melted in an EAF, refined, and cast into new steel."
282,Metal,Stainless Steel,EAF Smelting (Scrap + Ferroalloys) + Argon-Oxygen Decarburization,"Stainless grades are melted in EAF, then refined using AOD to reduce carbon and control alloy composition."
283,Metal,Aluminum,Bayer Process (Bauxite → Alumina) + Hall-Héroult Electrolysis,"Bauxite is refined to alumina (Bayer), then electrolytically reduced to aluminum metal (Hall-Héroult)."
284,Metal,Aluminum,Secondary (Recycling Scrap),"Scrap aluminum is remelted, refined, and cast, using far less energy than primary production."
285,Metal,Copper,Pyrometallurgical (Smelting + Converting + Fire Refining),"Copper sulfide concentrates are smelted and converted to blister copper, then fire/refined further."
286,Metal,Copper,Hydrometallurgical (Leaching + SX-EW),"Low-grade ores are leached with acid, copper is extracted with solvent extraction and recovered by electrowinning."
287,Metal,Zinc,Roast–Leach–Electrowinning (RLE),"Zinc sulfide concentrates are roasted to ZnO, leached, then Zn is recovered by electrowinning."
288,Metal,Zinc,Imperial Smelting Furnace (ISF),Simultaneous smelting of zinc and lead from mixed concentrates in a blast furnace–like reactor.
289,Metal,Lead,Primary Smelting (Blast Furnace),"Lead concentrates (PbS) are sintered, then reduced in a blast furnace, producing lead bullion."
290,Metals,Steel,Basic Oxygen Furnace (BOF),Conversion of pig iron to steel using oxygen
291,Metals,Steel,Electric Arc Furnace (EAF),Melting recycled steel scrap using electric arcs
292,Metals,Steel,Open Hearth Furnace,Older method using reverberatory furnaces
293,Metals,Aluminum,Hall-Héroult Process,Electrolytic reduction of alumina in cryolite
294,Metals,Aluminum,Secondary Production (Recycling),Remelting of aluminum scrap
295,Metals,Aluminum,Carbothermic Reduction,Alternative process using carbon to reduce alumina
296,Metals,Copper,Electrorefining,Purification by electrolysis
297,Metals,Zinc,Imperial Smelting Process,Blast furnace smelting of zinc ores
298,Metals,Zinc,Electrolytic Process,Electrowinning from zinc sulfate solution
299,Metals,Zinc,Hydrometallurgical Process,Leaching followed by precipitation or electrowinning
300,Metals,Nickel,Pyrometallurgical Process,Smelting of nickel sulfide ores
301,Metals,Nickel,Hydrometallurgical Process,Leaching of laterite ores (HPAL)
302,Metals,Nickel,Mond Process,Purification using nickel carbonyl
303,Metals,Lead,Sintering-Smelting Process,Traditional blast furnace smelting
304,Metals,Lead,Direct Smelting,"Modern processes like Kivcet, QSL, or Isasmelt"
305,Metals,Lead,Secondary Production (Recycling),Recovery from lead-acid batteries
306,Metals,Magnesium,Magnetherm Process,Silicothermic reduction in electric furnace
307,Metals,Titanium,Kroll Process,Reduction of titanium tetrachloride with magnesium
308,Metals,Titanium,Hunter Process,Reduction with sodium instead of magnesium
309,Metals,Titanium,FFC Cambridge Process,Direct electrochemical reduction of titanium dioxide
310,Metals,Stainless Steel,Argon Oxygen Decarburization (AOD),Refining process to reduce carbon content
311,Metals,Stainless Steel,Vacuum Oxygen Decarburization (VOD),Alternative refining in vacuum
312,Metals,Stainless Steel,Electric Arc Furnace (EAF),Primary melting of raw materials
313,Minerals,Gypsum,Phosphogypsum,By-product from phosphoric acid production
314,Minerals,Ceramic,Dry Pressing,Compaction of dry powder
315,Minerals,Ceramic,Slip Casting,Pouring slurry into molds
316,Minerals,Ceramic,Extrusion,Forcing clay through a die
317,Minerals,Silicon,Carbothermic Reduction,Reduction of silica with carbon
318,Minerals,Silicon,Electrochemical Process,Direct electrochemical reduction
319,Minerals,Silicon,Metallurgical Grade Refining,Purification for semiconductor applications
320,Minerals,Graphite,Natural Graphite Mining,Extraction and processing of natural deposits
321,Minerals,Graphite,Synthetic Graphite Production,High-temperature treatment of carbon precursors
322,Minerals,Graphite,Acheson Process,Electric heating of coke and silica
323,Minerals,Cement,Dry Process,Raw materials processed in dry state
324,Minerals,Cement,Wet Process,Raw materials processed as slurry
325,Minerals,Cement,Semi-Dry/Semi-Wet Process,Hybrid approaches
326,Minerals,Lime,Calcination of Limestone,Thermal decomposition of limestone in kilns
327,Minerals,Lime,Hydration Process,Converting quicklime to hydrated lime
328,Minerals,Lime,Recausticizing,Recovery from kraft pulping
329,Minerals,Glass,Float Glass Process,Continuous casting on molten tin
330,Minerals,Glass,Rolled Glass Process,Forming between rollers
331,Minerals,Glass,Container Glass Process,Forming in molds for containers
332,Mining,Lithium Extraction,Hard Rock Mining,Traditional mining of lithium-bearing minerals
333,Mining,Lithium Extraction,Brine Extraction,Pumping and evaporating lithium-rich brines
334,Mining,Lithium Extraction,Direct Lithium Extraction (DLE),Selective adsorption technologies
335,Mining,Rare Earth Mining,Open Pit Mining,Surface extraction of rare earth-bearing ores
336,Mining,Rare Earth Mining,In-Situ Leaching,Dissolving minerals underground for extraction
337,Mining,Rare Earth Mining,Recycling from End-of-Life Products,"Recovering REEs from electronics, magnets, etc."
338,Mining,Copper Mining,Open Pit Mining,Large-scale surface mining operations
339,Mining,Copper Mining,Underground Mining,Shaft and tunnel-based extraction
340,Mining,Copper Mining,Solution Mining,In-situ leaching of copper minerals
341,Mining,Critical Minerals,Conventional Mining,Traditional extraction methods
342,Mining,Critical Minerals,Deep Sea Mining,Ocean floor nodule and crust collection
343,Mining,Critical Minerals,Urban Mining,Recovery from waste streams and landfills
344,Mining & Minerals,Phosphate Rock,Surface Mining + Beneficiation,"Open-pit extraction, then crushing, screening, flotation."
345,Mining & Minerals,Phosphate Rock,Underground Mining,Less common approach for deeper deposits.
346,Mining & Minerals,Iron Ore,Surface (Open-pit) Mining + Beneficiation,"Ore is drilled, blasted, crushed, screened; sometimes concentrated."
347,Mining & Minerals,Iron Ore,Underground Mining,Used where ore deposits are deep or in specific geologic conditions.
348,Mining & Minerals,Bauxite,Open-pit Mining + Washing/Screening,"Major global route for aluminum ore, removing clay/silica contaminants."
349,Mining & Minerals,Bauxite,Underground Mining,Rare; only in certain geologic settings.
350,Mining & Minerals,Limestone,Open-pit Quarrying + Crushing,"Limestone is blasted, crushed, and sorted."
351,Mining & Minerals,Limestone,Underground Quarry,Limited usage if surface access is restricted.
352,Mining & Minerals,Silica Sand,Open-pit Quarrying + Washing/Sizing,"Silica-bearing sand is excavated, washed, classified to meet specs."
353,Mining & Minerals,Silica Sand,Dredging + Wet Processing,"Sand is dredged from rivers or lakes, then processed."
354,Paper & Pulp,Pulp (General),Kraft Process,"Wood chips are cooked with a strong alkali solution, yielding pulp with stronger fibers."
355,Paper & Pulp,Pulp (General),Sulfite Process,"Uses acidic cooking liquor, producing a different fiber quality, less common today."
356,Paper & Pulp,Newsprint,Mechanical Pulping (Groundwood),Logs are ground against stones to produce pulp for newsprint.
357,Paper & Pulp,Newsprint,Thermomechanical Pulping (TMP),"Wood chips are heated and mechanically refined, improving strength and brightness."
358,Paper & Pulp,Printing & Writing Paper,Chemical Pulp (Kraft) Bleaching,Bleached kraft pulp formed into fine paper on large papermaking machines.
359,Paper & Pulp,Printing & Writing Paper,Recycled Pulp (Deinked),"Recycled office paper or newsprint is deinked, refined, and formed into new paper."
360,Paper & Pulp,Corrugated Paper,Semi-chemical Pulp (Neutral Sulfite) + Papermaking,Semi-chemical pulp used for medium; liners often from kraft or recycled.
361,Paper & Pulp,Corrugated Paper,Recycled OCC (Old Corrugated Containers),Re-pulping used cardboard to form containerboard.
362,Paper & Pulp,Tissue Paper,Virgin Kraft Pulp + Tissue Machine (Creping),Softwood or hardwood pulp is formed into thin sheets and creped for softness.
363,Paper & Pulp,Tissue Paper,Recycled Pulp,"Lower-grade tissues from mixed wastepaper, often with deinking."
364,Petrochemical,Ethylene,"Steam Cracking of Hydrocarbons (Naphtha, Ethane)","Hydrocarbons are “cracked” at high temperature to yield ethylene, propylene, and other olefins."
365,Petrochemical,Ethylene,Ethanol Dehydration,"Ethanol vapor is passed over a catalyst to remove water, forming ethylene."
366,Petrochemical,Propylene,Steam Cracking (Co-product),Propylene is produced alongside ethylene in steam crackers.
367,Petrochemical,Propylene,FCC Off-gas (Fluid Catalytic Cracking in Refineries),Propylene is recovered from refinery FCC units as a byproduct stream.
368,Petrochemical,Benzene,Catalytic Reforming of Petroleum Naphtha,"Naphtha is reformed using platinum catalysts, producing benzene, toluene, and hydrogen."
369,Petrochemical,Benzene,Steam Cracking Byproduct (Pyrolysis Gasoline),Raw pyrolysis gasoline from cracking is hydrotreated and separated to recover benzene.
370,Petrochemical,Toluene,Catalytic Reforming of Naphtha,"Same approach as benzene, but yields toluene fraction."
371,Petrochemical,Toluene,Steam Cracking Byproduct (Pyrolysis Gasoline),Toluene is separated from pyrolysis gasoline similar to benzene recovery.
372,Petrochemical,Xylenes (Mixed Xylenes),Catalytic Reforming + Xylene Recovery,Mixed xylenes are recovered from reformate via fractionation and extraction.
373,Petrochemical,Xylenes (Mixed Xylenes),Toluene Disproportionation (TDP),Toluene is converted to xylenes (and benzene) via catalytic reaction.
374,Petrochemical,Vinyl Chloride (VCM),EDC Cracking,Ethylene dichloride is thermally cracked to form vinyl chloride monomer + HCl.
375,Petrochemical,Vinyl Chloride (VCM),Acetylene Hydrochlorination,"Older method, reacting acetylene with hydrogen chloride over a catalyst."
376,Petroleum Fuels,Gasoline,Crude Distillation + Catalytic Reforming + Blending,"Straight-run naphtha plus reformate, isomerate, etc., are blended into finished gasoline."
377,Petroleum Fuels,Gasoline,Fluid Catalytic Cracking (FCC) + Blending,Heavier fractions are cracked in the FCC to produce high-octane components for gasoline.
378,Petroleum Fuels,Diesel,Crude Distillation (Middle Distillates) + Hydrotreating,"Diesel cut is separated in distillation, then hydrotreated to remove sulfur/aromatics."
379,Petroleum Fuels,Diesel,Hydrocracking of Heavier Fractions + Distillation,Heavier oil fractions are cracked into lighter components suitable for diesel blending.
380,Petroleum Fuels,Jet Fuel,Crude Distillation (Kerosene Cut) + Hydrotreater,The kerosene fraction is separated and treated to meet jet fuel specifications.
381,Petroleum Fuels,Jet Fuel,Hydrocracking + Fractionation,Hydrocracking heavy distillates to produce a kerosene-range jet fuel fraction.
382,Petroleum Fuels,Fuel Oil,Direct Distillation (Resid Fraction),Heaviest fraction from crude distillation is sold as fuel oil or bunker fuel.
383,Petroleum Fuels,Fuel Oil,Vacuum Distillation + Blending,"Residual oils are further distilled under vacuum, then blended to meet fuel specs."
384,Petroleum Fuels,LPG,Crude Distillation (Light Ends) + Fractionation,Propane and butane are separated from the overhead streams.
385,Petroleum Fuels,LPG,Natural Gas Processing (NGL Separation),"Liquids are extracted from raw natural gas, yielding LPG components."
386,Polymer,Polyethylene (HDPE/LDPE),Gas-phase Polymerization (Fluidized Bed),"Ethylene polymerized under low/high pressure in a gas-phase reactor, often with Ziegler–Natta or metallocene."
387,Polymer,Polyethylene (HDPE/LDPE),Slurry or Solution Process,Hydrocarbon solvents/slurry used to polymerize ethylene with catalysts.
388,Polymer,Polypropylene,Gas-phase Polymerization,Propylene polymerized in a fluidized-bed or stirred-bed reactor.
389,Polymer,Polypropylene,Bulk (Liquid-phase) Process,Loop reactor system with liquefied propylene as both reactant and diluent.
390,Polymer,Polyvinyl Chloride (PVC),Suspension Polymerization of VCM,VCM is dispersed in water with initiators; polymer forms in suspended droplets.
391,Polymer,Polyvinyl Chloride (PVC),Emulsion Polymerization of VCM,"Similar approach but with emulsifying agents, producing finer particle sizes."
392,Polymer,Polystyrene,Batch Suspension Polymerization,"Styrene monomer droplets in water are polymerized, typically with a free-radical initiator."
393,Polymer,Polystyrene,Continuous Mass (Bulk) Polymerization,Styrene is polymerized in a continuous reactor without a solvent or suspending medium.
394,Polymer,Polyethylene Terephthalate (PET),Direct Esterification (PTA + MEG) + Polycondensation,Terephthalic acid and monoethylene glycol are esterified and then polycondensed.
395,Polymer,Polyethylene Terephthalate (PET),Transesterification (DMT + MEG) + Polycondensation,"Dimethyl terephthalate is reacted with MEG, then polycondensed (older process)."
396,Polymer,Polycarbonate,Phosgene Route (BPA + Phosgene),Bisphenol A is reacted with phosgene in an interfacial or solution process to form polycarbonate.
397,Polymer,Polycarbonate,Non-phosgene (Diphenyl Carbonate + BPA),Transesterification route avoiding phosgene.
398,Polymer,Polyamide (Nylon),Nylon 6: Caprolactam Polymerization,Ring-opening polymerization of caprolactam.
399,Polymer,Polyamide (Nylon),"Nylon 6,6: Hexamethylene Diamine + Adipic Acid","Condensation reaction forming a salt, then polymerized at high temperature."
400,Polymer,"Polyester (Unsaturated, etc.)",Polycondensation of Diacids/Anhydrides with Glycols,"Dicarboxylic acids or anhydrides react with glycols, often resulting in unsaturated sites for crosslinking."
401,Polymer,"Polyester (Unsaturated, etc.)",Reactive Diluent Approach (Styrene),"Unsaturated polyester is dissolved in styrene (or similar) to make resin for fiberglass composites, etc."
402,Polymer,"Acrylic (PAN, PMMA)",Acrylonitrile Polymerization (PAN),"Free-radical polymerization of acrylonitrile, often used for carbon fiber precursors."
403,Polymer,"Acrylic (PAN, PMMA)",Methyl Methacrylate Polymerization (PMMA),"MMA is polymerized (bulk, solution, or suspension) to form Plexiglas-type materials."
404,Polymer,Polyurethane,"Polyol + Diisocyanate (MDI, TDI)","Most common route; polyol reacts with diisocyanate to form foams, elastomers, adhesives, etc."
405,Polymer,Polyurethane,Prepolymer Method,"An isocyanate-terminated prepolymer is formed, then extended with chain extenders or additional polyol."
406,Polymer,Polyacetal (POM),Formaldehyde Polymerization (Anionic),"Formaldehyde monomer is polymerized, often stabilized by end-capping."
407,Polymer,Polyacetal (POM),Trioxane Co-Polymerization,Trioxane (cyclic trimer of formaldehyde) co-polymerized with comonomers.
408,Polymer,Polyphenylene Ether (PPE),Oxidative Coupling of Phenols (Copper Catalysts),"Phenol is oxidatively polymerized to form PPE, often blended with polystyrene."
409,Polymer,Polyphenylene Ether (PPE),Modified PPO Blends in Reactors,Blending PPO with PS or other polymers during polymerization for improved properties.
410,Polymer/Elastomer,Synthetic Rubber (SBR),Emulsion Polymerization,Styrene and butadiene are polymerized in an emulsion system.
411,Polymer/Elastomer,Synthetic Rubber (SBR),Solution Polymerization,"Polymerization in an organic solvent, allowing better control of polymer microstructure."
412,Polymer/Elastomer,EPDM Rubber,Solution Polymerization (Ziegler–Natta),"Ethylene, propylene, and a diene monomer are polymerized in solution with specific catalysts."
413,Polymer/Elastomer,EPDM Rubber,Suspension Polymerization (Less Common),Monomers are polymerized in a water-based suspension with suitable surfactants.
414,Transportation,Electric Vehicle Charging,Level 1 Charging,Slow charging using standard outlets
415,Transportation,Electric Vehicle Charging,Level 2 Charging,Medium-speed charging with dedicated equipment
416,Transportation,Electric Vehicle Charging,Direct Current Fast Charging (DCFC),High-power rapid charging
417,Transportation,Hydrogen Refueling,Gaseous Hydrogen Storage,Compression and dispensing of gaseous H₂
418,Transportation,Hydrogen Refueling,Liquid Hydrogen Storage,Cryogenic storage and dispensing
419,Transportation,Hydrogen Refueling,On-Site Generation,Electrolysis with integrated dispensing
420,Transportation,Biofuel Distribution,Blending Terminals,Mixing biofuels with conventional fuels
421,Transportation,Biofuel Distribution,Dedicated Biofuel Stations,Pure biofuel dispensing infrastructure
422,Transportation,Low-Carbon Shipping,LNG-Powered Vessels,Ships using liquefied natural gas as fuel
423,Transportation,Low-Carbon Shipping,Ammonia-Powered Vessels,Ships using ammonia as fuel
424,Transportation,Low-Carbon Shipping,Hydrogen Fuel Cell Ships,Ships using hydrogen fuel cells
425,Transportation,Low-Carbon Aviation,Sustainable Aviation Fuel (SAF),Infrastructure for bio-based jet fuels
426,Transportation,Low-Carbon Aviation,Hydrogen Aviation,Infrastructure for hydrogen-powered aircraft
427,Transportation,Low-Carbon Aviation,Electric Aviation,Charging infrastructure for electric aircraft
428,Waste,Plastic Recycling,Mechanical Recycling,"Sorting, shredding, washing, and reprocessing"
429,Waste,Plastic Recycling,Chemical Recycling (Pyrolysis),Thermal decomposition to basic chemical components
430,Waste,Plastic Recycling,Solvent-Based Recycling,Dissolution and precipitation to recover polymers
431,Waste,E-Waste Processing,Manual Disassembly,Physical separation of components
432,Waste,E-Waste Processing,Automated Shredding/Separation,Mechanical processing with automated sorting
433,Waste,E-Waste Processing,Hydrometallurgical Recovery,Chemical leaching to recover precious metals
434,Waste,Composting,Windrow Composting,Long rows of organic material with periodic turning
435,Waste,Composting,In-Vessel Composting,Controlled environment for accelerated decomposition
436,Waste,Composting,Vermicomposting,Using worms to break down organic material
437,Waste,Wastewater Treatment,Activated Sludge Process,Biological treatment using aeration
438,Waste,Wastewater Treatment,Membrane Bioreactors,Combined membrane filtration with biological treatment
439,Waste,Wastewater Treatment,Constructed Wetlands,Natural systems for water purification
440,Waste,Battery Recycling,Pyrometallurgical Process,High-temperature smelting of batteries
441,Waste,Battery Recycling,Hydrometallurgical Process,Chemical leaching and precipitation of metals
442,Waste,Battery Recycling,Direct Recycling,Recovery of cathode materials without decomposition
443,Waste,Landfill Management,Sanitary Landfill,Controlled waste disposal with environmental protection
444,Waste,Landfill Management,Bioreactor Landfill,Enhanced decomposition for methane generation
445,Waste,Landfill Management,Landfill Mining,Recovery of materials from existing landfills
446,Water,Desalination,Reverse Osmosis,Pressure-driven membrane separation
447,Water,Desalination,Thermal Distillation (MSF/MED),Evaporation and condensation processes
448,Water,Desalination,Electrodialysis,Ion separation using electrical potential
449,Water,Municipal Water Treatment,Conventional Treatment,"Coagulation, flocculation, sedimentation, filtration"
450,Water,Municipal Water Treatment,Membrane Filtration,"Using various membrane types (MF, UF, NF)"
451,Water,Municipal Water Treatment,Advanced Oxidation,Chemical oxidation for contaminant destruction
452,Water,Industrial Water Treatment,Ion Exchange,Removing specific ions from water
453,Water,Industrial Water Treatment,Electrodeionization,Combination of ion exchange and membranes
454,Water,Industrial Water Treatment,Zero Liquid Discharge,Complete water recovery with solid waste only
455,Water,Water Reuse,Potable Reuse,Advanced treatment for drinking water production
456,Water,Water Reuse,Non-Potable Reuse,"Treatment for irrigation, industrial use, etc."
